dt_nplus3_rok;quest_class;hermin_class;source;eu20_id;fin_zbyva_czv;fin_zbyva_eu;fin_zbyva_sr;fin_zbyva_sf;fin_zbyva_kraj;fin_zbyva_obec;fin_zbyva_jine_nar_ver;fin_zbyva_soukr;fin_zbyva_narodni_verejne;fin_zbyva_narodni;fin_zbyva_verejne
2021;AIS;AIS1;mssf;EU2020_3;428817212,14866668;175559708,92399999;0,0000000000;0,00000000;0,0000000000;0,0000000;0,000000000;253257503,224666655;-0,000000004866160452365875;253257503,224666655;428817212,14866668
2021;AIS;AIS2;mssf;EU2020_2;640946254,36501741;354373640,87199998;0,0000000000;0,00000000;0,0000000000;0,0000000;0,000000000;286572613,493017435;-0,000000010089327891667684;286572613,493017375;640946254,36501741
2021;AIS;AIS2;mssf;EU2020_3;5068623696,51000023;1991089923,93666673;0,0000000000;273155,00000000;0,0000000000;0,0000000;0,000000000;3077260617,573333263;273154,999999996449332684278488;3077533772,573333263;5068623696,51000023
2021;AIS;AIS2;mssf;NA;4940375016,64466667;2052757311,46000004;0,0000000000;0,00000000;0,0000000000;0,0000000;0,000000000;2887617705,184666634;0,000000016789029662807783;2887617705,184666634;4940375016,64466667
2021;AIS;AIS3;mssf;EU2020_2;2758696,01000000;2069022,01000000;0,0000000000;1225872,50000000;0,0000000000;0,0000000;0,000000000;689674,000000000;-0,000000000232830643653870;689674,000000000;2758696,01000000
2021;AIS;AIS3;mssf;EU2020_3;648491449,62333333;281627077,22333330;0,0000000000;0,00000000;0,0000000000;0,0000000;0,000000000;366864372,399999976;0,000000000252233197291692;366864372,399999976;648491449,62333333
2021;AIS;AIS3;mssf;NA;222132552,67600000;99278005,73133333;0,0000000000;0,00000000;0,0000000000;0,0000000;0,000000000;122854546,944666669;0,000000000648045291503270;122854546,944666669;222132552,67600000
2021;AIS;AIS4;mssf;EU2020_2;97513518,28666666;50868118,54333333;0,0000000000;0,00000000;0,0000000000;0,0000000;0,000000000;46645399,743333332;0,000000001008932789166768;46645399,743333332;97513518,28666666
2021;AIS;AIS4;mssf;EU2020_3;1570369826,01266670;623975031,21466660;0,0000000000;0,00000000;0,0000000000;0,0000000;0,000000000;946394794,797999978;0,000000010248428831497828;946394794,797999978;1570369826,01266670
2021;AIS;AIS4;mssf;NA;211020144,47000000;92425014,42999999;0,0000000000;0,00000000;0,0000000000;0,0000000;0,000000000;118595130,040000007;-0,000000001241763432820638;118595130,039999992;211020144,47000000
2021;AIS;AIS5;mssf;EU2020_2;259451344,30933332;139925942,23333332;0,0000000000;0,00000000;37071233,8953333348;0,0000000;0,000000000;82454168,180666670;37071233,895333319902420043945312;119525402,075999990;259451344,30933332
2021;AIS;AIS5;mssf;EU2020_3;1317136940,22399998;588406670,69666672;0,0000000000;0,00000000;0,0000000000;0,0000000;19943100,003333334;727652169,524000049;1078100,003333331784233450889587;728730269,527333379;1317136940,22399998
2021;AIS;AIS5;mssf;EU2020_5;82686595,53333333;65273148,84933333;0,0000000000;0,00000000;7157796,2199999997;0,0000000;0,000000000;10255650,464000000;7157796,220000002533197402954102;17413446,684000000;82686595,53333333
2021;AIS;AIS5;mssf;NA;1069717134,16733336;536829367,76066667;33572577,7933333367;1828563,00000000;0,0000000000;0,0000000;796200,570000000;498518988,043333352;34368778,363333314657211303710938;532887766,406666636;1069717134,16733336
2021;HC;HC;mssf;EU2020_1;11841792393,31386757;9666900875,04170418;1848780453,5720000267;0,00000000;13135042,3081382923;5305114,0000000;1234732,749016667;306579891,043008566;1868311627,229154825210571289062500;2174891518,272163391;11841792393,31386757
2021;HC;HC;mssf;EU2020_4;7188624203,90033627;5709795957,50450325;1029518737,3436000347;0,00000000;291522577,6349326372;13673611,6673333;49236209,057714999;94877110,692251995;1383951135,703581094741821289062500;1478828246,395833254;7188624203,90033627
2021;HC;HC;mssf;EU2020_5;3800712649,19508123;3135264244,85183716;511575015,6624786854;0,00000000;95972040,0947201252;38163646,9960000;615806,903933333;17532113,982778914;647916290,360465526580810546875000;665448404,343244433;3800712649,19508123
2021;HC;HC;mssf;NA;7803592628,76165676;6500432538,18328190;692944587,5974940062;0,00000000;106839580,6898455620;353287262,7593333;51545257,499001667;99099709,846033797;1204060380,732341289520263671875000;1303160090,578375101;7803592628,76165676
2021;INFR;INFR;mssf;EU2020_3;26275006986,68038177;13679264315,72714233;365778719,6175237894;16779668,79000000;798552454,8246666193;3078004099,5534286;353678588,967999995;7960391031,232952118;4635351639,720285415649414062500000;12595742670,953237534;26275006986,68038177
2021;INFR;INFR;mssf;EU2020_5;2685876766,18466663;2245816945,92866659;161335399,7439999878;0,00000000;101471907,7386666685;143871033,8706667;0,000000000;33381478,902666666;406678341,353333294391632080078125;440059820,255999982;2685876766,18466663
2021;INFR;INFR;mssf;NA;35180318819,09462738;23124889506,97476196;417431096,6981633306;1932646264,90276194;1440554801,5765714645;391689089,6419261;41270444,596446775;557110633,685999990;11498318678,433868408203125000000000;12055429312,119869232;35180318819,09462738
2021;RD;RD;mssf;EU2020_2;18203117966,40098190;10237134772,06466675;928748297,2566666603;2592094,26666667;196053079,1746666729;0,0000000;183966438,905333340;6669229310,830315590;1296753883,506000280380249023437500;7965983194,336316109;18203117966,40098190
2021;TA;TA;mssf;EU2020_1;16425004,46355230;14924251,91764259;1081253,0603265869;0,00000000;226003,0904417069;0,0000000;20824,062350000;172672,332791416;1328080,213118293555453419685364;1500752,545909709;16425004,46355230
2021;TA;TA;mssf;EU2020_5;1929884073,11790514;1775721070,19744301;66487912,3642146066;0,00000000;617815,6389598745;50219232,0273333;2104786,663933333;31486710,729354419;122676292,191107809543609619140625;154163002,920462221;1929884073,11790514
2021;TA;TA;mssf;NA;15779909238,11649132;12721955795,48025513;1642142095,1534368992;53699582,45000000;175730682,4636284411;73084276,1553120;7889886,232079414;1105049081,361780882;1952904361,274456739425659179687500;3057953442,636237621;15779909238,11649132
2022;AIS;AIS1;mssf;EU2020_3;188186549,69733334;79671456,26800001;0,0000000000;0,00000000;0,0000000000;0,0000000;0,000000000;108515093,429333329;-0,000000007636845111846923;108515093,429333329;188186549,69733334
2022;AIS;AIS2;mssf;EU2020_2;636876546,43733335;354054753,43199998;0,0000000000;0,00000000;0,0000000000;0,0000000;0,000000000;282821793,005333304;-0,000000007605801026026407;282821793,005333304;636876546,43733335
2022;AIS;AIS2;mssf;EU2020_3;4292975243,01999998;1613123938,75333333;0,0000000000;546310,00000000;0,0000000000;0,0000000;0,000000000;2679304994,266666412;546310,000000017113052308559418;2679851304,266666412;4292975243,01999998
2022;AIS;AIS2;mssf;NA;4531576187,50933266;1836865517,25999999;0,0000000000;0,00000000;0,0000000000;0,0000000;0,000000000;2694710670,249333382;0,000000043880815307299297;2694710670,249333382;4531576187,50933266
2022;AIS;AIS3;mssf;EU2020_3;485547834,20666665;219707514,06666666;0,0000000000;0,00000000;0,0000000000;0,0000000;0,000000000;265840320,139999986;-0,000000000659686823685964;265840320,139999986;485547834,20666665
2022;AIS;AIS3;mssf;NA;252732886,89199999;112290841,14266665;0,0000000000;0,00000000;0,0000000000;0,0000000;0,000000000;140442045,749333322;0,000000002110997835795085;140442045,749333322;252732886,89199999
2022;AIS;AIS4;mssf;EU2020_2;154178518,69333333;79568411,28666666;0,0000000000;0,00000000;0,0000000000;0,0000000;0,000000000;74610107,406666651;0,000000000155220429102580;74610107,406666651;154178518,69333333
2022;AIS;AIS4;mssf;EU2020_3;1035502830,10533333;390339051,74933332;0,0000000000;0,00000000;0,0000000000;0,0000000;0,000000000;645163778,355999947;0,000000005712111790974934;645163778,355999947;1035502830,10533333
2022;AIS;AIS4;mssf;NA;39512049,16000000;12425114,56000000;0,0000000000;0,00000000;0,0000000000;0,0000000;0,000000000;27086934,600000001;-0,000000004811833302179973;27086934,599999994;39512049,16000000
2022;AIS;AIS5;mssf;EU2020_2;269432579,59866667;142719982,32666665;0,0000000000;0,00000000;57624824,3706666678;0,0000000;0,000000000;69087772,901333332;57624824,370666667819023132324219;126712597,272000000;269432579,59866667
2022;AIS;AIS5;mssf;EU2020_3;840589997,24800003;350599372,37333333;0,0000000000;0,00000000;0,0000000000;0,0000000;2156200,006666666;487834424,867999971;2156200,006666669156402349472046;489990624,874666691;840589997,24800003
2022;AIS;AIS5;mssf;EU2020_5;8016037,72666667;6813632,05866667;0,0000000000;0,00000000;0,0000000000;0,0000000;0,000000000;1202405,668000000;0,000000000000000000000000;1202405,668000000;8016037,72666667
2022;AIS;AIS5;mssf;NA;1181947705,81466675;527454075,24133331;16587116,7466666661;0,00000000;0,0000000000;0,0000000;0,000000000;637906513,826666713;16587116,746666658669710159301758;654493630,573333263;1181947705,81466675
2022;HC;HC;mssf;EU2020_1;8452173370,66662693;6997301427,85887814;1369245524,3226103783;0,00000000;20448795,0562765859;7561193,8200000;595373,558033333;56957056,050828055;1397914886,756920337677001953125000;1454871942,807748318;8452173370,66662693
2022;HC;HC;mssf;EU2020_4;6875205033,60547256;5529755256,04173851;950867164,6642681360;0,00000000;185904752,6298653185;20455993,0796667;89402207,615429997;98819659,574504003;1246630117,989230155944824218750000;1345449777,563734055;6875205033,60547256
2022;HC;HC;mssf;EU2020_5;4120171336,18121958;3282674033,55599928;694387436,1408253908;0,00000000;123087108,3894402534;14720097,8520000;739303,187866667;3646690,388421399;833850612,236799001693725585937500;837497302,625220299;4120171336,18121958
2022;HC;HC;mssf;NA;5424352964,39187717;4479764223,86314011;597511043,0685962439;0,00000000;97580547,2796911299;92843562,9536667;97723125,498003334;58921354,695446685;885667385,833290696144104003906250;944588740,528737426;5424352964,39187717
2022;INFR;INFR;mssf;EU2020_3;17332800180,66076279;9442525449,17428589;197192110,0150476098;28213303,88000000;905607838,4693332911;2072343542,2468572;165226317,756000012;4477559900,885904312;3412714830,600571155548095703125000;7890274731,486475945;17332800180,66076279
2022;INFR;INFR;mssf;EU2020_5;973902862,66933334;816594119,61733329;57971055,7280000001;0,00000000;45913153,5173333287;41773918,8013333;0,000000000;11650615,005333334;145658128,046666651964187622070312;157308743,051999986;973902862,66933334
2022;INFR;INFR;mssf;NA;36991677247,19104767;27846002406,24952316;344313134,9967619181;2537790205,66552401;1329363726,9331429005;477748901,8811429;59015287,196952380;574292041,192000031;8571382799,749523162841796875000000;9145674840,941522598;36991677247,19104767
2022;RD;RD;mssf;EU2020_2;20836113154,17466736;12870271837,34133339;1631442485,3933331966;5184188,53333333;81884641,9293333292;0,0000000;364027052,110666633;5912515001,061333656;2053326315,771999597549438476562500;7965841316,833333015;20836113154,17466736
2022;TA;TA;mssf;EU2020_1;23480875,70301327;21335428,16401502;1433601,5864428955;0,00000000;452006,1808834139;0,0000000;41648,124700000;218191,646971942;1927255,892026309156790375709534;2145447,538998251;23480875,70301327
2022;TA;TA;mssf;EU2020_5;1306792200,36555338;1183671983,74576044;70398237,1149612069;0,00000000;555396,2779197489;14902693,1746667;2518582,867866667;32556559,671045270;90563656,948747605085372924804688;123120216,619792879;1306792200,36555338
2022;TA;TA;mssf;NA;11521060545,24223709;8768962744,62380219;1177804450,9689621925;37447374,82000000;124897595,9472568780;44586904,1933333;4840443,940100000;1362433499,088782549;1389664301,529652357101440429687500;2752097800,618434906;11521060545,24223709
2023;AIS;AIS1;mssf;EU2020_3;24262825,48400000;11059547,28800000;0,0000000000;0,00000000;0,0000000000;0,0000000;0,000000000;13203278,196000000;-0,000000000186264514923096;13203278,196000000;24262825,48400000
2023;AIS;AIS2;mssf;EU2020_2;72983948,70400000;39429118,83200000;0,0000000000;0,00000000;0,0000000000;0,0000000;0,000000000;33554829,872000001;0,000000000000000000000000;33554829,872000001;72983948,70400000
2023;AIS;AIS2;mssf;EU2020_3;1201773949,75999999;430172710,74000001;0,0000000000;0,00000000;0,0000000000;0,0000000;0,000000000;771601239,019999981;0,000000008568167686462403;771601239,019999981;1201773949,75999999
2023;AIS;AIS2;mssf;NA;290660083,21600002;115525955,04000001;0,0000000000;0,00000000;0,0000000000;0,0000000;0,000000000;175134128,175999999;0,000000001117587089538574;175134128,175999999;290660083,21600002
2023;AIS;AIS3;mssf;EU2020_3;30693989,60000000;14209584,68000000;0,0000000000;0,00000000;0,0000000000;0,0000000;0,000000000;16484404,920000000;0,000000000000000000000000;16484404,920000000;30693989,60000000
2023;AIS;AIS3;mssf;NA;13127222,75200000;5907250,23600000;0,0000000000;0,00000000;0,0000000000;0,0000000;0,000000000;7219972,516000000;0,000000001490116119384766;7219972,516000001;13127222,75200000
2023;AIS;AIS4;mssf;EU2020_3;215257728,55200002;91368016,53600000;0,0000000000;0,00000000;0,0000000000;0,0000000;0,000000000;123889712,016000003;0,000000000745058059692383;123889712,016000003;215257728,55200002
2023;AIS;AIS5;mssf;EU2020_2;24264609,81200000;12314049,34000000;0,0000000000;0,00000000;5006631,6040000003;0,0000000;0,000000000;6943928,868000000;5006631,604000001214444637298584;11950560,472000001;24264609,81200000
2023;AIS;AIS5;mssf;EU2020_3;277772228,54799998;114674205,76000001;0,0000000000;0,00000000;0,0000000000;0,0000000;0,000000000;163098022,788000017;0,000000000186264514923096;163098022,788000017;277772228,54799998
2023;AIS;AIS5;mssf;EU2020_5;1487618,70000000;1264475,89200000;0,0000000000;0,00000000;0,0000000000;0,0000000;0,000000000;223142,808000000;0,000000000000000000000000;223142,808000000;1487618,70000000
2023;AIS;AIS5;mssf;NA;439017798,92800003;191312981,80800000;0,0000000000;0,00000000;0,0000000000;0,0000000;0,000000000;247704817,120000005;0,000000007450580596923828;247704817,120000005;439017798,92800003
2023;HC;HC;mssf;EU2020_1;1945181243,79802513;1577903181,30739379;366143782,1451624632;0,00000000;692126,9054685847;0,0000000;0,000000000;442153,440000000;366835909,050631105899810791015625;367278062,490631104;1945181243,79802513
2023;HC;HC;mssf;EU2020_4;474141668,61538804;396092620,20173723;65382204,9591188058;0,00000000;12641625,9665320013;0,0000000;0,000000000;25217,488000000;78023830,925650805234909057617188;78049048,413650811;474141668,61538804
2023;HC;HC;mssf;EU2020_5;159780343,41048965;94808535,95654695;47132730,2572089210;0,00000000;17269474,2167337872;464265,5520000;0,000000000;105337,428000000;64866470,025942713022232055664062;64971807,453942709;159780343,41048965
2023;HC;HC;mssf;NA;1319825781,50539207;1097798797,80138326;153147427,3114391863;0,00000000;36968226,7885696962;5397630,3400000;26401586,776000001;112112,488000000;221914871,216008901596069335937500;222026983,704008907;1319825781,50539207
2023;INFR;INFR;mssf;EU2020_3;8031644810,42742920;4444154832,55428600;96970531,5217142850;12881678,16000000;474471975,0760000348;790364002,9468572;54227922,736000001;2152298163,432571411;1435191814,440571546554565429687500;3587489977,873143196;8031644810,42742920
2023;INFR;INFR;mssf;EU2020_5;278476410,51600003;236788828,90400001;18337241,2879999988;0,00000000;11283794,5040000007;7611185,0480000;0,000000000;4455360,772000000;37232220,839999996125698089599609;41687581,611999996;278476410,51600003
2023;INFR;INFR;mssf;NA;12944729691,95771408;10142355769,28285789;156025225,3634285927;825719261,51885724;491434978,7131428719;213616994,3811429;29913239,050285716;102903712,832000002;2699470209,842857360839843750000000;2802373922,674857140;12944729691,95771408
2023;RD;RD;mssf;EU2020_2;3945197763,22800016;2243230362,42799997;229411936,1200000048;0,00000000;32979318,6559999995;0,0000000;48143445,723999999;1397054085,828000069;304913314,971999943256378173828125;1701967400,799999952;3945197763,22800016
2023;TA;TA;mssf;EU2020_1;3279311,89041509;2979681,16716612;251136,8211575505;0,00000000;48493,9020914153;0,0000000;0,000000000;0,000000000;299630,723248965980019420385361;299630,723248966;3279311,89041509
2023;TA;TA;mssf;EU2020_5;493263825,32775038;465488928,60521311;3955738,4695110829;0,00000000;54711,0690262121;1291358,4680000;44053,160000000;22429035,556000002;5345861,166537284851074218750000;27774896,722537290;493263825,32775038
2023;TA;TA;mssf;NA;3776885639,26853991;3118867482,34055996;515627343,8564020395;15170574,82000000;70942998,1395783126;14733837,6200000;1486746,076000000;40047656,416000001;617970500,511980295181274414062500;658018156,927980304;3776885639,26853991
2024;INFR;INFR;mssf;EU2020_3;290268416,71142858;114838837,73428571;55314,2857142857;0,00000000;15042704,2999999989;126581951,1428571;0,000000000;33749609,248571426;141679969,728571414947509765625000;175429578,977142841;290268416,71142858
2024;INFR;INFR;mssf;NA;984307876,98571420;812141173,68285704;10338457,5714285709;51193050,60285714;723830,8171428571;35271355,6371429;3372250,494285714;40507705,140000001;131658998,162857100367546081542969;172166703,302857101;984307876,98571420
NA;AIS;AIS1;mssf;EU2020_2;0,00000000;0,00000000;0,0000000000;0,00000000;0,0000000000;0,0000000;0,000000000;0,000000000;0,000000000000000000000000;0,000000000;0,00000000
NA;AIS;AIS1;mssf;EU2020_3;0,00000000;0,00000000;0,0000000000;0,00000000;0,0000000000;0,0000000;0,000000000;0,000000000;0,000000000000000000000000;0,000000000;0,00000000
NA;AIS;AIS2;mssf;EU2020_2;0,00000000;0,00000000;0,0000000000;0,00000000;0,0000000000;0,0000000;0,000000000;0,000000000;0,000000000000000000000000;0,000000000;0,00000000
NA;AIS;AIS2;mssf;EU2020_3;0,00000000;0,00000000;0,0000000000;0,00000000;0,0000000000;0,0000000;0,000000000;0,000000000;0,000000000000000000000000;0,000000000;0,00000000
NA;AIS;AIS2;mssf;EU2020_5;0,00000000;0,00000000;0,0000000000;0,00000000;0,0000000000;0,0000000;0,000000000;0,000000000;0,000000000000000000000000;0,000000000;0,00000000
NA;AIS;AIS2;mssf;NA;0,00000000;0,00000000;0,0000000000;0,00000000;0,0000000000;0,0000000;0,000000000;0,000000000;0,000000000000000000000000;0,000000000;0,00000000
NA;AIS;AIS3;mssf;EU2020_2;0,00000000;0,00000000;0,0000000000;0,00000000;0,0000000000;0,0000000;0,000000000;0,000000000;0,000000000000000000000000;0,000000000;0,00000000
NA;AIS;AIS3;mssf;EU2020_3;0,00000000;0,00000000;0,0000000000;0,00000000;0,0000000000;0,0000000;0,000000000;0,000000000;0,000000000000000000000000;0,000000000;0,00000000
NA;AIS;AIS3;mssf;NA;0,00000000;0,00000000;0,0000000000;0,00000000;0,0000000000;0,0000000;0,000000000;0,000000000;0,000000000000000000000000;0,000000000;0,00000000
NA;AIS;AIS4;mssf;EU2020_2;0,00000000;0,00000000;0,0000000000;0,00000000;0,0000000000;0,0000000;0,000000000;0,000000000;0,000000000000000000000000;0,000000000;0,00000000
NA;AIS;AIS4;mssf;EU2020_3;0,00000000;0,00000000;0,0000000000;0,00000000;0,0000000000;0,0000000;0,000000000;0,000000000;0,000000000000000000000000;0,000000000;0,00000000
NA;AIS;AIS4;mssf;EU2020_5;0,00000000;0,00000000;0,0000000000;0,00000000;0,0000000000;0,0000000;0,000000000;0,000000000;0,000000000000000000000000;0,000000000;0,00000000
NA;AIS;AIS4;mssf;NA;0,00000000;0,00000000;0,0000000000;0,00000000;0,0000000000;0,0000000;0,000000000;0,000000000;0,000000000000000000000000;0,000000000;0,00000000
NA;AIS;AIS5;mssf;EU2020_2;0,00000000;0,00000000;0,0000000000;0,00000000;0,0000000000;0,0000000;0,000000000;0,000000000;0,000000000000000000000000;0,000000000;0,00000000
NA;AIS;AIS5;mssf;EU2020_3;0,00000000;0,00000000;0,0000000000;0,00000000;0,0000000000;0,0000000;0,000000000;0,000000000;0,000000000000000000000000;0,000000000;0,00000000
NA;AIS;AIS5;mssf;EU2020_5;0,00000000;0,00000000;0,0000000000;0,00000000;0,0000000000;0,0000000;0,000000000;0,000000000;0,000000000000000000000000;0,000000000;0,00000000
NA;AIS;AIS5;mssf;NA;0,00000000;0,00000000;0,0000000000;0,00000000;0,0000000000;0,0000000;0,000000000;0,000000000;0,000000000000000000000000;0,000000000;0,00000000
NA;AIS;AISNA;mssf;NA;0,00000000;0,00000000;0,0000000000;0,00000000;0,0000000000;0,0000000;0,000000000;0,000000000;0,000000000000000000000000;0,000000000;0,00000000
NA;HC;HC;mssf;EU2020_1;0,00000000;0,00000000;0,0000000000;0,00000000;0,0000000000;0,0000000;0,000000000;0,000000000;0,000000000000000000000000;0,000000000;0,00000000
NA;HC;HC;mssf;EU2020_4;0,00000000;0,00000000;0,0000000000;0,00000000;0,0000000000;0,0000000;0,000000000;0,000000000;0,000000000000000000000000;0,000000000;0,00000000
NA;HC;HC;mssf;EU2020_5;0,00000000;0,00000000;0,0000000000;0,00000000;0,0000000000;0,0000000;0,000000000;0,000000000;0,000000000000000000000000;0,000000000;0,00000000
NA;HC;HC;mssf;NA;0,00000000;0,00000000;0,0000000000;0,00000000;0,0000000000;0,0000000;0,000000000;0,000000000;0,000000000000000000000000;0,000000000;0,00000000
NA;INFR;INFR;mssf;EU2020_3;0,00000000;0,00000000;0,0000000000;0,00000000;0,0000000000;0,0000000;0,000000000;0,000000000;0,000000000000000000000000;0,000000000;0,00000000
NA;INFR;INFR;mssf;EU2020_5;0,00000000;0,00000000;0,0000000000;0,00000000;0,0000000000;0,0000000;0,000000000;0,000000000;0,000000000000000000000000;0,000000000;0,00000000
NA;INFR;INFR;mssf;NA;0,00000000;0,00000000;0,0000000000;0,00000000;0,0000000000;0,0000000;0,000000000;0,000000000;0,000000000000000000000000;0,000000000;0,00000000
NA;RD;RD;mssf;EU2020_2;0,00000000;0,00000000;0,0000000000;0,00000000;0,0000000000;0,0000000;0,000000000;0,000000000;0,000000000000000000000000;0,000000000;0,00000000
NA;TA;TA;mssf;EU2020_1;0,00000000;0,00000000;0,0000000000;0,00000000;0,0000000000;0,0000000;0,000000000;0,000000000;0,000000000000000000000000;0,000000000;0,00000000
NA;TA;TA;mssf;EU2020_5;0,00000000;0,00000000;0,0000000000;0,00000000;0,0000000000;0,0000000;0,000000000;0,000000000;0,000000000000000000000000;0,000000000;0,00000000
NA;TA;TA;mssf;NA;0,00000000;0,00000000;0,0000000000;0,00000000;0,0000000000;0,0000000;0,000000000;0,000000000;0,000000000000000000000000;0,000000000;0,00000000
